subject_id,student_id,assessment_type,marks_obtained,id
SB000001,ST000004,FA,48,MR000050
SB000002,ST000004,UT-1,39,MR000051
SB000002,ST000004,UT-2,65,MR000052
SB000002,ST000004,UT-3,76,MR000053
SB000002,ST000004,HY,92,MR000054
SB000002,ST000004,FA,43,MR000055
SB000003,ST000004,UT-1,7,MR000056
SB000003,ST000004,UT-2,28,MR000057
SB000003,ST000004,UT-3,6,MR000058
SB000003,ST000004,HY,52,MR000059
SB000003,ST000004,FA,43,MR000060
SB000001,ST000005,UT-1,93,MR000061
SB000001,ST000005,UT-2,7,MR000062
SB000001,ST000005,UT-3,39,MR000063
SB000001,ST000005,HY,48,MR000064
SB000001,ST000005,FA,46,MR000065
SB000002,ST000005,UT-1,24,MR000066
SB000002,ST000005,UT-2,44,MR000067
SB000002,ST000005,UT-3,79,MR000068
SB000002,ST000005,HY,82,MR000069
SB000002,ST000005,FA,48,MR000070
SB000003,ST000005,UT-1,2,MR000071
SB000003,ST000005,UT-2,55,MR000072
SB000003,ST000005,UT-3,87,MR000073
SB000003,ST000005,HY,37,MR000074
SB000003,ST000005,FA,16,MR000075
SB000001,ST000006,UT-1,7,MR000076
SB000001,ST000006,UT-2,79,MR000077
SB000001,ST000006,UT-3,84,MR000078
SB000001,ST000006,HY,22,MR000079
SB000001,ST000006,FA,26,MR000080
SB000002,ST000006,UT-1,14,MR000081
SB000002,ST000006,UT-2,4,MR000082
SB000002,ST000006,UT-3,48,MR000083
SB000002,ST000006,HY,62,MR000084
SB000002,ST000006,FA,10,MR000085
SB000003,ST000006,UT-1,54,MR000086
SB000003,ST000006,UT-2,93,MR000087
SB000003,ST000006,UT-3,50,MR000088
SB000003,ST000006,HY,30,MR000089
SB000003,ST000006,FA,16,MR000090
SB000001,ST000007,UT-1,33,MR000091
SB000001,ST000007,UT-2,16,MR000092
SB000001,ST000007,UT-3,48,MR000093
SB000001,ST000007,HY,63,MR000094
SB000001,ST000007,FA,9,MR000095
SB000002,ST000007,UT-1,98,MR000096
SB000002,ST000007,UT-2,31,MR000097
SB000002,ST000007,UT-3,83,MR000098
SB000002,ST000007,HY,13,MR000099
SB000002,ST000007,FA,12,MR000100
SB000003,ST000007,UT-1,44,MR000101
SB000003,ST000007,UT-2,61,MR000102
SB000003,ST000007,UT-3,7,MR000103
SB000003,ST000007,HY,95,MR000104
SB000003,ST000007,FA,26,MR000105
SB000001,ST000008,UT-1,1,MR000106
SB000001,ST000008,UT-2,21,MR000107
SB000001,ST000008,UT-3,67,MR000108
SB000001,ST000008,HY,48,MR000109
SB000001,ST000008,FA,14,MR000110
SB000002,ST000008,UT-1,3,MR000111
SB000002,ST000008,UT-2,50,MR000112
SB000002,ST000008,UT-3,51,MR000113
SB000002,ST000008,HY,32,MR000114
SB000002,ST000008,FA,47,MR000115
SB000003,ST000008,UT-1,41,MR000116
SB000003,ST000008,UT-2,62,MR000117
SB000003,ST000008,UT-3,82,MR000118
SB000003,ST000008,HY,22,MR000119
SB000003,ST000008,FA,3,MR000120
SB000001,ST000009,UT-1,80,MR000121
SB000001,ST000009,UT-2,56,MR000122
SB000001,ST000009,UT-3,32,MR000123
SB000001,ST000009,HY,35,MR000124
SB000001,ST000009,FA,84,MR000125
SB000002,ST000009,UT-1,43,MR000126
SB000002,ST000009,UT-2,58,MR000127
SB000002,ST000009,UT-3,64,MR000128
SB000002,ST000009,HY,80,MR000129
SB000002,ST000009,FA,48,MR000130
SB000003,ST000009,UT-1,37,MR000131
SB000003,ST000009,UT-2,63,MR000132
SB000003,ST000009,UT-3,56,MR000133
SB000003,ST000009,HY,53,MR000134
SB000003,ST000009,FA,66,MR000135
SB000001,ST000010,UT-1,41,MR000136
SB000001,ST000010,UT-2,56,MR000137
SB000001,ST000010,UT-3,69,MR000138
SB000001,ST000010,HY,92,MR000139
SB000001,ST000010,FA,21,MR000140
SB000002,ST000010,UT-1,16,MR000141
SB000002,ST000010,UT-2,97,MR000142
SB000002,ST000010,UT-3,82,MR000143
SB000002,ST000010,HY,39,MR000144
SB000002,ST000010,FA,30,MR000145
SB000003,ST000010,UT-1,2,MR000146
SB000003,ST000010,UT-2,31,MR000147
SB000003,ST000010,UT-3,84,MR000148
SB000003,ST000010,HY,26,MR000149
SB000003,ST000010,FA,81,MR000150
SB000001,ST000011,UT-1,68,MR000151
SB000001,ST000011,UT-2,54,MR000152
SB000001,ST000011,UT-3,13,MR000153
SB000001,ST000011,HY,73,MR000154
SB000001,ST000011,FA,41,MR000155
SB000002,ST000011,UT-1,27,MR000156
SB000002,ST000011,UT-2,58,MR000157
SB000002,ST000011,UT-3,57,MR000158
SB000002,ST000011,HY,59,MR000159
SB000002,ST000011,FA,93,MR000160
SB000003,ST000011,UT-1,19,MR000161
SB000003,ST000011,UT-2,81,MR000162
SB000003,ST000011,UT-3,81,MR000163
SB000003,ST000011,HY,23,MR000164
SB000003,ST000011,FA,99,MR000165
SB000001,ST000012,UT-1,44,MR000166
SB000001,ST000012,UT-2,14,MR000167
SB000001,ST000012,UT-3,89,MR000168
SB000001,ST000012,HY,59,MR000169
SB000001,ST000012,FA,10,MR000170
SB000002,ST000012,UT-1,12,MR000171
SB000002,ST000012,UT-2,40,MR000172
SB000002,ST000012,UT-3,3,MR000173
SB000002,ST000012,HY,100,MR000174
SB000002,ST000012,FA,64,MR000175
SB000003,ST000012,UT-1,0,MR000176
SB000003,ST000012,UT-2,58,MR000177
SB000003,ST000012,UT-3,19,MR000178
SB000003,ST000012,HY,99,MR000179
SB000003,ST000012,FA,13,MR000180
SB000001,ST000013,UT-1,17,MR000181
SB000001,ST000013,UT-2,24,MR000182
SB000001,ST000013,UT-3,43,MR000183
SB000001,ST000013,HY,96,MR000184
SB000001,ST000013,FA,13,MR000185
SB000002,ST000013,UT-1,34,MR000186
SB000002,ST000013,UT-2,64,MR000187
SB000002,ST000013,UT-3,68,MR000188
SB000002,ST000013,HY,64,MR000189
SB000002,ST000013,FA,13,MR000190
SB000003,ST000013,UT-1,60,MR000191
SB000003,ST000013,UT-2,77,MR000192
SB000003,ST000013,UT-3,51,MR000193
SB000003,ST000013,HY,48,MR000194
SB000003,ST000013,FA,79,MR000195
SB000001,ST000014,UT-1,72,MR000196
SB000001,ST000014,UT-2,3,MR000197
SB000001,ST000014,UT-3,37,MR000198
SB000001,ST000014,HY,61,MR000199
SB000001,ST000014,FA,33,MR000200
SB000002,ST000014,UT-1,76,MR000201
SB000002,ST000014,UT-2,76,MR000202
SB000002,ST000014,UT-3,97,MR000203
SB000002,ST000014,HY,48,MR000204
SB000002,ST000014,FA,13,MR000205
SB000003,ST000014,UT-1,82,MR000206
SB000003,ST000014,UT-2,79,MR000207
SB000003,ST000014,UT-3,5,MR000208
SB000003,ST000014,HY,57,MR000209
SB000003,ST000014,FA,86,MR000210
SB000001,ST000015,UT-1,79,MR000211
SB000001,ST000015,UT-2,20,MR000212
SB000001,ST000015,UT-3,18,MR000213
SB000001,ST000015,HY,72,MR000214
SB000001,ST000015,FA,17,MR000215
SB000002,ST000015,UT-1,70,MR000216
SB000002,ST000015,UT-2,77,MR000217
SB000002,ST000015,UT-3,65,MR000218
SB000002,ST000015,HY,23,MR000219
SB000002,ST000015,FA,91,MR000220
SB000003,ST000015,UT-1,23,MR000221
SB000003,ST000015,UT-2,14,MR000222
SB000003,ST000015,UT-3,69,MR000223
SB000003,ST000015,HY,44,MR000224
SB000003,ST000015,FA,62,MR000225
SB000001,ST000016,UT-1,70,MR000226
SB000001,ST000016,UT-2,96,MR000227
SB000001,ST000016,UT-3,25,MR000228
SB000001,ST000016,HY,1,MR000229
SB000001,ST000016,FA,85,MR000230
SB000002,ST000016,UT-1,54,MR000231
SB000002,ST000016,UT-2,84,MR000232
SB000002,ST000016,UT-3,14,MR000233
SB000002,ST000016,HY,44,MR000234
SB000002,ST000016,FA,77,MR000235
SB000003,ST000016,UT-1,66,MR000236
SB000003,ST000016,UT-2,73,MR000237
SB000003,ST000016,UT-3,90,MR000238
SB000003,ST000016,HY,19,MR000239
SB000003,ST000016,FA,96,MR000240
SB000001,ST000017,UT-1,4,MR000241
SB000001,ST000017,UT-2,30,MR000242
SB000001,ST000017,UT-3,73,MR000243
SB000001,ST000017,HY,2,MR000244
SB000001,ST000017,FA,42,MR000245
SB000002,ST000017,UT-1,64,MR000246
SB000002,ST000017,UT-2,95,MR000247
SB000002,ST000017,UT-3,17,MR000248
SB000002,ST000017,HY,24,MR000249
SB000002,ST000017,FA,19,MR000250
SB000003,ST000017,UT-1,96,MR000251
SB000003,ST000017,UT-2,44,MR000252
SB000003,ST000017,UT-3,94,MR000253
SB000003,ST000017,HY,87,MR000254
SB000003,ST000017,FA,60,MR000255
SB000001,ST000018,UT-1,46,MR000256
SB000001,ST000018,UT-2,54,MR000257
SB000001,ST000018,UT-3,94,MR000258
SB000001,ST000018,HY,67,MR000259
SB000001,ST000018,FA,69,MR000260
SB000002,ST000018,UT-1,13,MR000261
SB000002,ST000018,UT-2,40,MR000262
SB000002,ST000018,UT-3,70,MR000263
SB000002,ST000018,HY,33,MR000264
SB000002,ST000018,FA,95,MR000265
SB000003,ST000018,UT-1,69,MR000266
SB000003,ST000018,UT-2,38,MR000267
SB000003,ST000018,UT-3,75,MR000268
SB000003,ST000018,HY,84,MR000269
SB000003,ST000018,FA,56,MR000270
SB000001,ST000019,UT-1,8,MR000271
SB000001,ST000019,UT-2,12,MR000272
SB000001,ST000019,UT-3,73,MR000273
SB000001,ST000019,HY,15,MR000274
SB000001,ST000019,FA,94,MR000275
SB000002,ST000019,UT-1,15,MR000276
SB000002,ST000019,UT-2,98,MR000277
SB000002,ST000019,UT-3,34,MR000278
SB000002,ST000019,HY,65,MR000279
SB000002,ST000019,FA,29,MR000280
SB000003,ST000019,UT-1,79,MR000281
SB000003,ST000019,UT-2,99,MR000282
SB000003,ST000019,UT-3,89,MR000283
SB000003,ST000019,HY,14,MR000284
SB000003,ST000019,FA,41,MR000285
SB000001,ST000020,UT-1,73,MR000286
SB000001,ST000020,UT-2,68,MR000287
SB000001,ST000020,UT-3,22,MR000288
SB000001,ST000020,HY,17,MR000289
SB000001,ST000020,FA,99,MR000290
SB000002,ST000020,UT-1,85,MR000291
SB000002,ST000020,UT-2,17,MR000292
SB000002,ST000020,UT-3,70,MR000293
SB000002,ST000020,HY,89,MR000294
SB000002,ST000020,FA,30,MR000295
SB000003,ST000020,UT-1,86,MR000296
SB000003,ST000020,UT-2,78,MR000297
SB000003,ST000020,UT-3,63,MR000298
SB000003,ST000020,HY,75,MR000299
SB000003,ST000020,FA,5,MR000300
SB000001,ST000021,UT-1,67,MR000301
SB000001,ST000021,UT-2,87,MR000302
SB000001,ST000021,UT-3,67,MR000303
SB000001,ST000021,HY,19,MR000304
SB000001,ST000021,FA,21,MR000305
SB000002,ST000021,UT-1,78,MR000306
SB000002,ST000021,UT-2,97,MR000307
SB000002,ST000021,UT-3,81,MR000308
SB000002,ST000021,HY,88,MR000309
SB000002,ST000021,FA,81,MR000310
SB000003,ST000021,UT-1,48,MR000311
SB000003,ST000021,UT-2,16,MR000312
SB000003,ST000021,UT-3,48,MR000313
SB000003,ST000021,HY,87,MR000314
SB000003,ST000021,FA,23,MR000315
SB000001,ST000022,UT-1,79,MR000316
SB000001,ST000022,UT-2,31,MR000317
SB000001,ST000022,UT-3,95,MR000318
SB000001,ST000022,HY,22,MR000319
SB000001,ST000022,FA,23,MR000320
SB000002,ST000022,UT-1,26,MR000321
SB000002,ST000022,UT-2,72,MR000322
SB000002,ST000022,UT-3,51,MR000323
SB000002,ST000022,HY,15,MR000324
SB000002,ST000022,FA,86,MR000325
SB000003,ST000022,UT-1,66,MR000326
SB000003,ST000022,UT-2,71,MR000327
SB000003,ST000022,UT-3,9,MR000328
SB000003,ST000022,HY,95,MR000329
SB000003,ST000022,FA,58,MR000330
SB000001,ST000023,UT-1,7,MR000331
SB000001,ST000023,UT-2,11,MR000332
SB000001,ST000023,UT-3,32,MR000333
SB000001,ST000023,HY,44,MR000334
SB000001,ST000023,FA,65,MR000335
SB000002,ST000023,UT-1,93,MR000336
SB000002,ST000023,UT-2,43,MR000337
SB000002,ST000023,UT-3,80,MR000338
SB000002,ST000023,HY,17,MR000339
SB000002,ST000023,FA,95,MR000340
SB000003,ST000023,UT-1,58,MR000341
SB000003,ST000023,UT-2,66,MR000342
SB000003,ST000023,UT-3,64,MR000343
SB000003,ST000023,HY,47,MR000344
SB000003,ST000023,FA,32,MR000345
SB000001,ST000024,UT-1,24,MR000346
SB000001,ST000024,UT-2,97,MR000347
SB000001,ST000024,UT-3,12,MR000348
SB000001,ST000024,HY,5,MR000349
SB000001,ST000024,FA,22,MR000350
SB000002,ST000024,UT-1,17,MR000351
SB000002,ST000024,UT-2,3,MR000352
SB000002,ST000024,UT-3,84,MR000353
SB000002,ST000024,HY,28,MR000354
SB000002,ST000024,FA,92,MR000355
SB000003,ST000024,UT-1,16,MR000356
SB000003,ST000024,UT-2,50,MR000357
SB000003,ST000024,UT-3,86,MR000358
SB000003,ST000024,HY,84,MR000359
SB000003,ST000024,FA,63,MR000360
SB000001,ST000025,UT-1,6,MR000361
SB000001,ST000025,UT-2,3,MR000362
SB000001,ST000025,UT-3,39,MR000363
SB000001,ST000025,HY,53,MR000364
SB000001,ST000025,FA,68,MR000365
SB000002,ST000025,UT-1,21,MR000366
SB000002,ST000025,UT-2,78,MR000367
SB000002,ST000025,UT-3,62,MR000368
SB000002,ST000025,HY,59,MR000369
SB000002,ST000025,FA,40,MR000370
SB000003,ST000025,UT-1,53,MR000371
SB000003,ST000025,UT-2,50,MR000372
SB000003,ST000025,UT-3,92,MR000373
SB000003,ST000025,HY,55,MR000374
SB000003,ST000025,FA,21,MR000375
SB000001,ST000026,UT-1,86,MR000376
SB000001,ST000026,UT-2,60,MR000377
SB000001,ST000026,UT-3,73,MR000378
SB000001,ST000026,HY,8,MR000379
SB000001,ST000026,FA,53,MR000380
SB000002,ST000026,UT-1,11,MR000381
SB000002,ST000026,UT-2,57,MR000382
SB000002,ST000026,UT-3,95,MR000383
SB000002,ST000026,HY,10,MR000384
SB000002,ST000026,FA,100,MR000385
SB000003,ST000026,UT-1,16,MR000386
SB000003,ST000026,UT-2,80,MR000387
SB000003,ST000026,UT-3,60,MR000388
SB000003,ST000026,HY,15,MR000389
SB000003,ST000026,FA,17,MR000390
SB000004,ST000027,UT-1,12,MR000391
SB000004,ST000027,UT-2,84,MR000392
SB000004,ST000027,UT-3,18,MR000393
SB000004,ST000027,HY,50,MR000394
SB000004,ST000027,FA,39,MR000395
SB000005,ST000027,UT-1,8,MR000396
SB000005,ST000027,UT-2,73,MR000397
SB000005,ST000027,UT-3,15,MR000398
SB000005,ST000027,HY,15,MR000399
SB000005,ST000027,FA,19,MR000400
SB000006,ST000027,UT-1,78,MR000401
SB000006,ST000027,UT-2,41,MR000402
SB000006,ST000027,UT-3,40,MR000403
SB000006,ST000027,HY,76,MR000404
SB000006,ST000027,FA,34,MR000405
SB000004,ST000028,UT-1,79,MR000406
SB000004,ST000028,UT-2,98,MR000407
SB000004,ST000028,UT-3,35,MR000408
SB000004,ST000028,HY,28,MR000409
SB000004,ST000028,FA,74,MR000410
SB000005,ST000028,UT-1,80,MR000411
SB000005,ST000028,UT-2,90,MR000412
SB000005,ST000028,UT-3,42,MR000413
SB000005,ST000028,HY,40,MR000414
SB000005,ST000028,FA,74,MR000415
SB000006,ST000028,UT-1,25,MR000416
SB000006,ST000028,UT-2,56,MR000417
SB000006,ST000028,UT-3,50,MR000418
SB000006,ST000028,HY,4,MR000419
SB000006,ST000028,FA,27,MR000420
SB000004,ST000029,UT-1,91,MR000421
SB000004,ST000029,UT-2,87,MR000422
SB000004,ST000029,UT-3,16,MR000423
SB000004,ST000029,HY,27,MR000424
SB000004,ST000029,FA,55,MR000425
SB000005,ST000029,UT-1,34,MR000426
SB000005,ST000029,UT-2,15,MR000427
SB000005,ST000029,UT-3,57,MR000428
SB000005,ST000029,HY,7,MR000429
SB000005,ST000029,FA,20,MR000430
SB000006,ST000029,UT-1,77,MR000431
SB000006,ST000029,UT-2,86,MR000432
SB000006,ST000029,UT-3,51,MR000433
SB000006,ST000029,HY,68,MR000434
SB000006,ST000029,FA,59,MR000435
SB000004,ST000030,UT-1,31,MR000436
SB000004,ST000030,UT-2,42,MR000437
SB000004,ST000030,UT-3,13,MR000438
SB000004,ST000030,HY,71,MR000439
SB000004,ST000030,FA,81,MR000440
SB000005,ST000030,UT-1,72,MR000441
SB000005,ST000030,UT-2,13,MR000442
SB000005,ST000030,UT-3,82,MR000443
SB000005,ST000030,HY,67,MR000444
SB000005,ST000030,FA,80,MR000445
SB000006,ST000030,UT-1,23,MR000446
SB000006,ST000030,UT-2,28,MR000447
SB000006,ST000030,UT-3,45,MR000448
SB000006,ST000030,HY,84,MR000449
SB000006,ST000030,FA,51,MR000450
SB000004,ST000031,UT-1,2,MR000451
SB000004,ST000031,UT-2,39,MR000452
SB000004,ST000031,UT-3,59,MR000453
SB000004,ST000031,HY,57,MR000454
SB000004,ST000031,FA,35,MR000455
SB000005,ST000031,UT-1,5,MR000456
SB000005,ST000031,UT-2,81,MR000457
SB000005,ST000031,UT-3,97,MR000458
SB000005,ST000031,HY,1,MR000459
SB000005,ST000031,FA,4,MR000460
SB000006,ST000031,UT-1,87,MR000461
SB000006,ST000031,UT-2,95,MR000462
SB000006,ST000031,UT-3,15,MR000463
SB000006,ST000031,HY,3,MR000464
SB000006,ST000031,FA,82,MR000465
SB000004,ST000032,UT-1,86,MR000466
SB000004,ST000032,UT-2,14,MR000467
SB000004,ST000032,UT-3,13,MR000468
SB000004,ST000032,HY,57,MR000469
SB000004,ST000032,FA,86,MR000470
SB000005,ST000032,UT-1,76,MR000471
SB000005,ST000032,UT-2,11,MR000472
SB000005,ST000032,UT-3,32,MR000473
SB000005,ST000032,HY,69,MR000474
SB000005,ST000032,FA,71,MR000475
SB000006,ST000032,UT-1,20,MR000476
SB000006,ST000032,UT-2,41,MR000477
SB000006,ST000032,UT-3,35,MR000478
SB000006,ST000032,HY,28,MR000479
SB000006,ST000032,FA,46,MR000480
SB000004,ST000033,UT-1,78,MR000481
SB000004,ST000033,UT-2,21,MR000482
SB000004,ST000033,UT-3,36,MR000483
SB000004,ST000033,HY,16,MR000484
SB000004,ST000033,FA,60,MR000485
SB000005,ST000033,UT-1,52,MR000486
SB000005,ST000033,UT-2,45,MR000487
SB000005,ST000033,UT-3,51,MR000488
SB000005,ST000033,HY,42,MR000489
SB000005,ST000033,FA,47,MR000490
SB000006,ST000033,UT-1,1,MR000491
SB000006,ST000033,UT-2,46,MR000492
SB000006,ST000033,UT-3,70,MR000493
SB000006,ST000033,HY,98,MR000494
SB000006,ST000033,FA,59,MR000495
SB000004,ST000034,UT-1,62,MR000496
SB000004,ST000034,UT-2,15,MR000497
SB000004,ST000034,UT-3,2,MR000498
SB000004,ST000034,HY,60,MR000499
SB000004,ST000034,FA,36,MR000500
SB000005,ST000034,UT-1,50,MR000501
SB000005,ST000034,UT-2,31,MR000502
SB000005,ST000034,UT-3,20,MR000503
SB000005,ST000034,HY,87,MR000504
SB000005,ST000034,FA,72,MR000505
SB000006,ST000034,UT-1,45,MR000506
SB000006,ST000034,UT-2,67,MR000507
SB000006,ST000034,UT-3,95,MR000508
SB000006,ST000034,HY,63,MR000509
SB000006,ST000034,FA,52,MR000510
SB000004,ST000035,UT-1,4,MR000511
SB000004,ST000035,UT-2,9,MR000512
SB000004,ST000035,UT-3,74,MR000513
SB000004,ST000035,HY,41,MR000514
SB000004,ST000035,FA,0,MR000515
SB000005,ST000035,UT-1,78,MR000516
SB000005,ST000035,UT-2,79,MR000517
SB000005,ST000035,UT-3,49,MR000518
SB000005,ST000035,HY,44,MR000519
SB000005,ST000035,FA,46,MR000520
SB000006,ST000035,UT-1,10,MR000521
SB000006,ST000035,UT-2,44,MR000522
SB000006,ST000035,UT-3,55,MR000523
SB000006,ST000035,HY,2,MR000524
SB000006,ST000035,FA,31,MR000525
SB000004,ST000036,UT-1,76,MR000526
SB000004,ST000036,UT-2,61,MR000527
SB000004,ST000036,UT-3,77,MR000528
SB000004,ST000036,HY,78,MR000529
SB000004,ST000036,FA,12,MR000530
SB000005,ST000036,UT-1,11,MR000531
SB000005,ST000036,UT-2,1,MR000532
SB000005,ST000036,UT-3,80,MR000533
SB000005,ST000036,HY,76,MR000534
SB000005,ST000036,FA,1,MR000535
SB000006,ST000036,UT-1,19,MR000536
SB000006,ST000036,UT-2,3,MR000537
SB000006,ST000036,UT-3,21,MR000538
SB000006,ST000036,HY,47,MR000539
SB000006,ST000036,FA,41,MR000540
SB000004,ST000037,UT-1,77,MR000541
SB000004,ST000037,UT-2,10,MR000542
SB000004,ST000037,UT-3,30,MR000543
SB000004,ST000037,HY,20,MR000544
SB000004,ST000037,FA,37,MR000545
SB000005,ST000037,UT-1,49,MR000546
SB000005,ST000037,UT-2,10,MR000547
SB000005,ST000037,UT-3,92,MR000548
SB000005,ST000037,HY,39,MR000549
SB000005,ST000037,FA,62,MR000550
SB000006,ST000037,UT-1,88,MR000551
SB000006,ST000037,UT-2,48,MR000552
SB000006,ST000037,UT-3,78,MR000553
SB000006,ST000037,HY,5,MR000554
SB000006,ST000037,FA,25,MR000555
SB000004,ST000038,UT-1,77,MR000556
SB000004,ST000038,UT-2,91,MR000557
SB000004,ST000038,UT-3,66,MR000558
SB000004,ST000038,HY,32,MR000559
SB000004,ST000038,FA,10,MR000560
SB000005,ST000038,UT-1,24,MR000561
SB000005,ST000038,UT-2,51,MR000562
SB000005,ST000038,UT-3,30,MR000563
SB000005,ST000038,HY,86,MR000564
SB000005,ST000038,FA,31,MR000565
SB000006,ST000038,UT-1,7,MR000566
SB000006,ST000038,UT-2,57,MR000567
SB000006,ST000038,UT-3,25,MR000568
SB000006,ST000038,HY,36,MR000569
SB000006,ST000038,FA,23,MR000570
SB000004,ST000039,UT-1,63,MR000571
SB000004,ST000039,UT-2,88,MR000572
SB000004,ST000039,UT-3,0,MR000573
SB000004,ST000039,HY,39,MR000574
SB000004,ST000039,FA,8,MR000575
SB000005,ST000039,UT-1,51,MR000576
SB000005,ST000039,UT-2,61,MR000577
SB000005,ST000039,UT-3,72,MR000578
SB000005,ST000039,HY,90,MR000579
SB000005,ST000039,FA,42,MR000580
SB000006,ST000039,UT-1,62,MR000581
SB000006,ST000039,UT-2,57,MR000582
SB000006,ST000039,UT-3,45,MR000583
SB000006,ST000039,HY,97,MR000584
SB000006,ST000039,FA,65,MR000585
SB000004,ST000040,UT-1,20,MR000586
SB000004,ST000040,UT-2,15,MR000587
SB000004,ST000040,UT-3,33,MR000588
SB000004,ST000040,HY,8,MR000589
SB000004,ST000040,FA,63,MR000590
SB000005,ST000040,UT-1,51,MR000591
SB000005,ST000040,UT-2,87,MR000592
SB000005,ST000040,UT-3,33,MR000593
SB000005,ST000040,HY,28,MR000594
SB000005,ST000040,FA,51,MR000595
SB000006,ST000040,UT-1,46,MR000596
SB000006,ST000040,UT-2,18,MR000597
SB000006,ST000040,UT-3,68,MR000598
SB000006,ST000040,HY,9,MR000599
SB000006,ST000040,FA,17,MR000600
SB000004,ST000041,UT-1,93,MR000601
SB000004,ST000041,UT-2,50,MR000602
SB000004,ST000041,UT-3,68,MR000603
SB000004,ST000041,HY,96,MR000604
SB000004,ST000041,FA,95,MR000605
SB000005,ST000041,UT-1,18,MR000606
SB000005,ST000041,UT-2,17,MR000607
SB000005,ST000041,UT-3,83,MR000608
SB000005,ST000041,HY,46,MR000609
SB000005,ST000041,FA,44,MR000610
SB000006,ST000041,UT-1,37,MR000611
SB000006,ST000041,UT-2,49,MR000612
SB000006,ST000041,UT-3,73,MR000613
SB000006,ST000041,HY,47,MR000614
SB000006,ST000041,FA,36,MR000615
SB000004,ST000042,UT-1,95,MR000616
SB000004,ST000042,UT-2,74,MR000617
SB000004,ST000042,UT-3,40,MR000618
SB000004,ST000042,HY,96,MR000619
SB000004,ST000042,FA,16,MR000620
SB000005,ST000042,UT-1,56,MR000621
SB000005,ST000042,UT-2,91,MR000622
SB000005,ST000042,UT-3,59,MR000623
SB000005,ST000042,HY,17,MR000624
SB000005,ST000042,FA,54,MR000625
SB000006,ST000042,UT-1,75,MR000626
SB000006,ST000042,UT-2,48,MR000627
SB000006,ST000042,UT-3,49,MR000628
SB000006,ST000042,HY,42,MR000629
SB000006,ST000042,FA,26,MR000630
SB000004,ST000043,UT-1,53,MR000631
SB000004,ST000043,UT-2,18,MR000632
SB000004,ST000043,UT-3,1,MR000633
SB000004,ST000043,HY,58,MR000634
SB000004,ST000043,FA,44,MR000635
SB000005,ST000043,UT-1,5,MR000636
SB000005,ST000043,UT-2,41,MR000637
SB000005,ST000043,UT-3,32,MR000638
SB000005,ST000043,HY,18,MR000639
SB000005,ST000043,FA,35,MR000640
SB000006,ST000043,UT-1,1,MR000641
SB000006,ST000043,UT-2,81,MR000642
SB000006,ST000043,UT-3,62,MR000643
SB000006,ST000043,HY,88,MR000644
SB000006,ST000043,FA,66,MR000645
SB000004,ST000044,UT-1,51,MR000646
SB000004,ST000044,UT-2,83,MR000647
SB000004,ST000044,UT-3,17,MR000648
SB000004,ST000044,HY,96,MR000649
SB000004,ST000044,FA,62,MR000650
SB000005,ST000044,UT-1,55,MR000651
SB000005,ST000044,UT-2,53,MR000652
SB000005,ST000044,UT-3,43,MR000653
SB000005,ST000044,HY,10,MR000654
SB000005,ST000044,FA,34,MR000655
SB000006,ST000044,UT-1,46,MR000656
SB000006,ST000044,UT-2,6,MR000657
SB000006,ST000044,UT-3,64,MR000658
