name,class_id,max_marks,pass_marks,id
ENGLISH,CL000024,100,35,SB000099
MATHS,CL000024,100,35,SB000100
SCIENCE,CL000024,100,35,SB000101
SOCIAL SCIENCE,CL000024,100,35,SB000102
HINDI,CL000025,100,35,SB000103
ENGLISH,CL000025,100,35,SB000104
MATHS,CL000025,100,35,SB000105
SCIENCE,CL000025,100,35,SB000106
SOCIAL SCIENCE,CL000025,100,35,SB000107
HINDI,CL000026,100,35,SB000108
ENGLISH,CL000026,100,35,SB000109
MATHS,CL000026,100,35,SB000110
SCIENCE,CL000026,100,35,SB000111
SOCIAL SCIENCE,CL000026,100,35,SB000112
HINDI,CL000027,100,35,SB000113
ENGLISH,CL000027,100,35,SB000114
MATHS,CL000027,100,35,SB000115
SCIENCE,CL000027,100,35,SB000116
SOCIAL SCIENCE,CL000027,100,35,SB000117
HINDI,CL000028,100,35,SB000118
ENGLISH,CL000028,100,35,SB000119
MATHS,CL000028,100,35,SB000120
HINDI,CL000029,100,35,SB000121
ENGLISH,CL000029,100,35,SB000122
MATHS,CL000029,100,35,SB000123
HINDI,CL000030,100,35,SB000124
ENGLISH,CL000030,100,35,SB000125
MATHS,CL000030,100,35,SB000126
HINDI,CL000031,100,35,SB000127
ENGLISH,CL000031,100,35,SB000128
MATHS,CL000031,100,35,SB000129
SCIENCE,CL000031,100,35,SB000130
SOCIAL SCIENCE,CL000031,100,35,SB000131
HINDI,CL000032,100,35,SB000132
ENGLISH,CL000032,100,35,SB000133
MATHS,CL000032,100,35,SB000134
SCIENCE,CL000032,100,35,SB000135
SOCIAL SCIENCE,CL000032,100,35,SB000136
HINDI,CL000033,100,35,SB000137
ENGLISH,CL000033,100,35,SB000138
MATHS,CL000033,100,35,SB000139
SCIENCE,CL000033,100,35,SB000140
SOCIAL SCIENCE,CL000033,100,35,SB000141
HINDI,CL000034,100,35,SB000142
ENGLISH,CL000034,100,35,SB000143
MATHS,CL000034,100,35,SB000144
SCIENCE,CL000034,100,35,SB000145
SOCIAL SCIENCE,CL000034,100,35,SB000146
HINDI,CL000035,100,35,SB000147
ENGLISH,CL000035,100,35,SB000148
MATHS,CL000035,100,35,SB000149
SCIENCE,CL000035,100,35,SB000150
SOCIAL SCIENCE,CL000035,100,35,SB000151
HINDI,CL000036,100,35,SB000152
ENGLISH,CL000036,100,35,SB000153
MATHS,CL000036,100,35,SB000154
HINDI,CL000037,100,35,SB000155
ENGLISH,CL000037,100,35,SB000156
MATHS,CL000037,100,35,SB000157
HINDI,CL000038,100,35,SB000158
ENGLISH,CL000038,100,35,SB000159
MATHS,CL000038,100,35,SB000160
HINDI,CL000039,100,35,SB000161
ENGLISH,CL000039,100,35,SB000162
MATHS,CL000039,100,35,SB000163
SCIENCE,CL000039,100,35,SB000164
SOCIAL SCIENCE,CL000039,100,35,SB000165
HINDI,CL000040,100,35,SB000166
ENGLISH,CL000040,100,35,SB000167
MATHS,CL000040,100,35,SB000168
SCIENCE,CL000040,100,35,SB000169
SOCIAL SCIENCE,CL000040,100,35,SB000170
